epoch,train_loss,val_rmse,secs
0,0.51226,0.76116,30
1,0.42581,0.76952,28
2,0.39140,0.74014,28
3,0.35890,0.74675,28
4,0.32809,0.73293,28
5,0.29317,0.74203,28
6,0.26588,0.74421,28
7,0.24195,0.73959,27
8,0.22062,0.75694,28
9,0.20960,0.73759,27
10,0.19341,0.74254,28
11,0.18476,0.74598,28
12,0.17711,0.73077,28
13,0.16897,0.74340,28
14,0.16254,0.75696,27
15,0.15907,0.74804,27
16,0.15187,0.74847,27
17,0.14660,0.74901,28
18,0.14309,0.75094,27
19,0.14010,0.74335,27
20,0.13531,0.75203,28
21,0.13222,0.75428,28
22,0.13043,0.75125,27
23,0.12863,0.75288,27
24,0.12422,0.74952,28
25,0.12232,0.75000,28
26,0.11952,0.75867,27
27,0.11765,0.75315,27
28,0.11784,0.76050,28
29,0.11471,0.75211,27
