epoch,train_loss,val_rmse,secs
0,482.90247,20.88698,28
1,390.47172,18.21609,27
2,279.72356,15.09412,26
3,176.77797,11.53480,26
4,102.30199,8.61965,27
5,55.10740,6.28430,26
6,27.71486,4.73613,27
7,10.04967,2.78351,27
8,4.86897,1.64585,26
9,3.09169,1.61515,27
10,2.30015,1.26032,27
11,1.43904,1.01050,27
12,1.14650,0.92324,27
13,1.00620,0.88238,27
14,0.89238,0.80671,27
15,0.80088,0.80744,27
16,0.72159,0.75813,27
17,0.68208,0.72949,27
18,0.64599,0.72901,27
19,0.60198,0.71028,26
20,0.56475,0.68639,27
21,0.53474,0.69337,26
22,0.51805,0.66174,27
23,0.49340,0.66556,26
24,0.48458,0.67894,27
25,0.46714,0.67323,26
26,0.44756,0.69748,27
27,0.43836,0.67936,27
28,0.42171,0.66730,26
29,0.40247,0.66284,26
