epoch,train_loss,val_rmse,secs
0,484.68789,21.20486,24
1,401.77896,18.94946,23
2,290.02284,15.40449,23
3,183.30524,12.02653,23
4,103.80567,8.65338,23
5,50.40528,6.15707,23
6,22.01555,4.01889,22
7,9.85736,2.85288,22
8,4.27012,1.63731,22
9,1.89291,1.20194,23
10,1.23178,1.06688,23
11,0.97226,0.99437,23
12,0.81985,0.96995,23
13,0.74709,0.88286,22
14,0.68214,0.86955,22
15,0.63563,0.88796,23
16,0.58163,0.82755,23
17,0.55626,0.80663,23
18,0.53226,0.80180,23
19,0.51120,0.79335,23
20,0.49479,0.79105,23
21,0.47247,0.78316,23
22,0.46143,0.76893,22
23,0.44774,0.78278,23
24,0.42767,0.78345,23
25,0.41702,0.81745,23
26,0.40547,0.77739,23
27,0.39656,0.76448,23
28,0.38851,0.77340,23
29,0.36241,0.75686,23
