epoch,train_loss,val_rmse,secs
0,475.93617,20.92905,29
1,390.88643,18.58957,25
2,286.62319,15.47948,24
3,189.24834,12.27813,24
4,115.93522,9.44936,24
5,64.92150,6.69583,24
6,26.61841,4.00226,24
7,7.96898,2.46556,25
8,2.82042,1.47306,24
9,1.42572,1.08255,24
10,0.99261,1.07040,24
11,0.77572,0.91262,24
12,0.63921,0.85447,24
13,0.56036,0.85381,24
14,0.51713,0.77838,24
15,0.47309,0.79026,24
16,0.44360,0.79435,25
17,0.42053,0.71474,24
18,0.40010,0.71605,25
19,0.38040,0.70138,24
20,0.36324,0.69963,24
21,0.34289,0.67858,24
22,0.34371,0.70328,24
23,0.33040,0.67179,24
24,0.31118,0.68764,24
25,0.30236,0.67672,24
26,0.28991,0.67589,24
27,0.28675,0.67905,24
28,0.26969,0.67371,24
29,0.26469,0.67849,24
