epoch,train_loss,val_rmse,secs
0,484.35119,21.18875,24
1,402.32179,18.88142,24
2,293.75424,15.18159,23
3,186.08712,12.08759,23
4,103.77961,8.96355,23
5,51.24505,6.13253,23
6,22.13991,3.85519,23
7,8.92365,2.55595,23
8,4.18926,1.83697,23
9,2.32601,1.50636,23
10,1.59351,1.31802,23
11,1.15341,1.09471,23
12,0.90529,1.02185,23
13,0.77889,0.94224,23
14,0.69371,0.89755,24
15,0.63633,0.86191,24
16,0.58670,0.82415,23
17,0.55677,0.82494,23
18,0.51008,0.80162,23
19,0.48469,0.77350,23
20,0.46276,0.75083,23
21,0.43111,0.76538,23
22,0.42814,0.76858,24
23,0.40537,0.76024,23
24,0.39792,0.75355,23
25,0.38261,0.73803,23
26,0.37048,0.73760,24
27,0.36250,0.72882,24
28,0.35259,0.76157,24
29,0.34428,0.75438,24
